Unnamed: 0,car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
0,65,18,7,9,120000,1,4,1,19.7,796,46.3,5,120000
1,34,8,54,5,20000,1,4,1,18.9,1197,82.0,5,550000
2,40,8,118,11,60000,1,4,1,17.0,1197,80.0,5,215000
3,65,18,7,9,37000,1,4,1,20.92,998,67.1,5,226000
4,20,6,38,6,30000,0,1,1,22.77,1498,98.59,5,570000
5,79,18,100,8,35000,1,4,1,18.9,998,67.1,5,350000
6,39,8,117,8,40000,0,4,1,20.36,1197,78.9,5,315000
7,79,18,100,3,17512,0,4,1,20.51,998,67.04,5,410000
8,37,8,96,2,20000,1,4,0,18.15,998,118.35,5,1050000
12,76,18,88,4,28321,0,4,1,16.6,1197,85.0,5,511000
14,38,8,97,8,65278,0,1,1,22.32,1582,126.32,5,425000
15,96,25,32,5,50000,1,1,1,19.64,1461,108.45,5,750000
16,90,22,29,4,6000,0,4,0,14.41,1998,189.08,5,3250000
17,68,18,24,5,76000,0,1,1,28.09,1248,88.5,5,650000
18,76,18,88,5,20000,1,1,1,25.2,1248,74.0,5,627000
19,84,21,16,7,65000,0,1,0,19.27,2143,170.0,5,1425000
20,76,18,88,7,62200,0,1,1,28.4,1248,74.0,5,425000
21,113,29,60,8,110000,1,1,1,12.99,2494,100.6,8,605000
22,66,18,13,6,20000,1,4,1,21.4,1197,83.1,5,600000
23,77,18,89,5,40000,1,4,1,20.85,1197,83.14,5,575000
25,116,30,95,8,47000,0,4,1,16.09,1598,103.2,5,425000
26,65,18,7,8,25000,0,4,1,20.92,998,67.1,5,230000
27,32,8,30,2,15000,1,1,1,19.67,1582,126.2,5,1225000
29,27,7,25,6,50000,1,4,1,17.4,1497,117.3,5,750000
30,57,17,14,10,25000,1,1,1,13.6,2523,63.0,7,350000
31,77,18,89,6,90000,1,1,1,26.59,1248,74.0,5,600000
32,77,18,89,8,45000,0,1,1,26.59,1248,74.0,5,390000
33,27,7,25,14,77253,0,4,1,17.7,1497,78.0,5,145000
34,40,8,118,3,25000,1,4,1,17.19,1197,81.86,5,700000
35,111,29,45,8,110000,1,1,1,13.0,2982,168.5,7,1150000
36,97,25,64,4,30000,1,4,1,23.01,999,67.0,5,340000
37,24,7,10,5,39993,0,4,1,18.6,1199,88.76,5,465000
38,35,8,84,12,80000,1,4,1,17.92,1086,62.1,5,125000
39,64,17,114,9,185000,1,1,1,15.1,2179,140.0,7,600000
40,77,18,89,8,90000,1,1,1,23.4,1248,74.0,5,380000
44,40,8,118,3,15000,1,1,1,22.54,1396,88.73,5,850000
45,40,8,118,3,40000,1,4,1,18.6,1197,81.83,5,598000
46,27,7,25,6,31180,0,4,0,18.0,1497,117.3,5,700000
50,77,18,89,7,56000,0,1,1,23.4,1248,74.0,5,410000
53,66,18,13,5,52427,0,4,0,21.4,1197,83.1,5,590000
54,57,17,14,1,40000,1,1,1,21.0,1498,74.96,7,850000
56,59,17,63,3,17000,1,4,1,18.15,1198,82.0,5,550000
58,66,18,13,5,22000,0,4,1,15.4,1590,94.0,5,625000
59,77,18,89,5,54000,1,4,1,20.85,1197,83.14,5,600000
60,79,18,100,2,10000,1,4,1,20.51,998,67.04,5,445000
61,74,18,59,2,20000,1,4,1,20.89,1197,81.8,5,530000
